ksp00020_1.dat 3990
ksp00020_2.dat 1800
ksp00020_3.dat 1440
ksp00050_1.dat 3990
ksp00050_2.dat 1800
ksp00050_3.dat 1600
ksp00100_1.dat 3990
ksp00100_2.dat 2250
ksp00100_3.dat 2580
ksp00200_1.dat 6460
ksp00200_2.dat 4500
ksp00200_3.dat 5180
ksp00500_1.dat 16910
ksp00500_2.dat 11250
ksp00500_3.dat 13180
ksp01000_1.dat 33250
ksp01000_2.dat 22680
ksp01000_3.dat 26780
ksp02000_1.dat 66310
ksp02000_2.dat 45360
ksp02000_3.dat 53660
ksp05000_1.dat 166440
ksp05000_2.dat 114030
ksp05000_3.dat 130080
ksp10000_1.dat 333640
ksp10000_2.dat 226710
ksp10000_3.dat 260380
