P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10
33.2622940768455,82.3893427478943,-61.2401772798302,91.7585317186096,-72.9301399232373,87.7942631945547,-77.157997548613,63.9188744770102,-58.7612086227187,39.9030845897622
-80.2075070334906,20.2968520485973,-1.91338088020349,-71.1100245783489,96.6090535475344,84.4000220561542,-73.8649028143919,60.7807850568958,57.4745244430115,-3.49001788893872
-74.3931230270282,-73.69792982415,-87.8163555913105,-98.4270551555695,98.8103167521645,-88.1980735120172,-83.5981941462791,-38.8832607287414,-44.9619443009976,5.44150306792321
-12.5321241109234,-96.6713865266725,-55.4179574883626,26.1183129705315,52.4910001180239,-10.0852072745937,82.8406145078256,-29.3288681680983,-0.150511149826144,89.5229886180997
56.6149318400159,47.8916765614848,-94.5844394304724,70.9788567556524,-29.4074350313854,-9.68616880225932,38.8329494858243,-14.2713553961349,-71.637498076309,24.9557341798451
-46.4896948974319,-91.2169859087766,-7.29871771730259,21.0191161023988,43.0018717688952,23.2981823823338,8.09994358826316,65.13100898063,-4.7546618804114,78.9725281943522
-33.9896479438506,-54.1300773592501,48.9091106172921,-54.3986627905751,56.3862086008744,-60.8295937651041,20.3554388955989,31.839230695216,93.6295388087462,77.8967994335349
84.0162325614135,-65.2012137882083,53.0527223381978,93.2715120351248,65.4103588770335,64.6521009394858,-58.2599019602974,-67.6681449050196,-48.2513670608884,3.77181397559325
-3.69220484183448,-2.95984272370625,-0.451241610291135,26.0524736771391,7.53532232273955,14.9480144499261,79.4974536762255,66.5624980507743,-7.88437069554557,-90.7685260207203
-58.2056238276331,44.9010511681751,81.1515179292324,-60.9467970629667,-63.2066651106169,21.0602768271046,12.1362613702133,74.6180257346372,31.8525447431117,-47.1476898667629
75.9104500111736,10.8413152351312,42.4663121580562,36.0100148983223,-46.1728962723311,-69.2581001314679,2.01493574897469,-74.72164724375,-16.0030553748347,80.7887042455728
25.0864731855624,-53.2500947292276,-73.9286935523681,-69.6260769042965,8.71607435331659,-13.8209312057747,-77.7096704943039,-79.3173647984197,-34.2575496475675,-29.3758505036849
-17.5551937207154,-43.8232015919912,-86.3480716978618,-81.3937209743874,29.9439265194502,-34.758380972191,86.9750939803853,38.287052359354,67.8455423481998,-35.6827998671794
90.0834247308291,-82.5229801709627,-24.7421096580369,-21.3433008002204,17.0081638756414,41.0625636087838,-82.5526580037776,-88.7509554450675,5.57271083461519,71.1206929049378
84.8228664628679,81.8594210840352,-33.2549076165703,-86.4262031718755,37.1883259398753,89.2445646688486,-63.6978910464659,-23.8913029469343,92.6401286119384,5.8133060339032
91.8974811262645,-21.7456892184828,11.7974308922615,53.7041729635284,61.5443661775366,-5.01662284180352,21.610826294808,-44.4437088708991,94.7221051907002,-84.6322446587652
-36.678959054933,79.6043204816867,-78.0881674990758,-55.1573704316356,20.3727169615479,6.11916930564918,-81.8902446209032,-6.05626012211627,-78.1289974735351,99.4599961907238
2.04368401595099,48.3382468451016,91.718944218739,82.0389523648751,97.1499281034041,-63.1948891157038,-61.4420913684181,90.1150993016313,27.4898511197158,-68.427710320877
-88.3706539188745,91.6469674030527,-79.6315525844806,-55.9708539017614,-60.1958107567692,93.8449444391178,-88.9756791546243,0.675208600072153,68.3871400793318,-32.1206679696248
24.184235666862,64.1540796125748,-24.754542015089,6.75214180734824,71.9176081257318,11.2323184059158,70.7479247578567,39.8667369309483,62.5044346561689,-63.2866226506003
-48.1054314771455,-36.1888088848202,-98.8525448214908,-31.2871037440928,-16.7941292162784,98.4429938465405,61.914721803681,57.6005951655628,-5.22387373213749,91.5480763229139
-37.4495525212331,-74.0044020025766,-59.4479656281035,-0.475872832026639,-21.8328283986264,-22.6497745570192,55.0647626734568,-72.4205842165292,-51.9933145544381,83.7805522610519
-81.7738664428094,55.4422384543727,66.9744101269734,-44.5053973557795,-11.9888375268923,-97.3793125300369,-6.64225496423995,-36.614435097763,-77.4294308542003,87.0636847676478
-71.5316935967215,87.6341486325344,37.0700336671988,-69.7966918390198,31.6464613444648,-12.7239154493216,38.5664781517839,86.4805997537537,-57.4558590518502,-18.9163738160871
-69.9357585134467,-98.7941985264087,43.8396936847432,-42.0648123549688,1.28916250082102,50.9629737331805,-49.0555718011914,45.6027707748231,53.1330855999415,-49.4585675248531
-37.3757615036699,84.4588832433066,2.40213579892325,-86.1458571569973,-96.7843402949332,-66.2559509892673,39.9245958993453,74.4327638759027,-31.4545772331901,76.3281085377495
72.0314908889883,81.4306086422898,14.4593406993991,12.5111359587238,30.7374794876302,67.6934522563974,75.3323304967771,-81.8618394068938,-67.267864695338,-55.5867851438544
29.9565428778474,-37.9318792247699,-37.0260106841811,8.78492416567916,-8.0684865559097,-45.8351447278569,26.7602082375219,-34.7690696308323,-9.74904571228457,-11.0816467440819
52.1836713431091,-3.55061751744987,-15.8825351727486,-96.410324371091,-46.2678742545188,-43.2797639759071,-17.4632027007803,-60.6786693555021,-45.5592908568455,-25.8616297891955
-74.8080550863769,16.7421465836398,90.37601181278,72.4011569978085,92.4377903858355,-82.2183269475266,-7.69869855437963,-7.91554578529919,1.594749671383,-23.0743092702265
53.2533977264096,-50.6401018374896,87.3311929820013,-17.6434014755905,-98.6350097960133,14.9391117191222,-96.2482274139561,-58.5472973899468,80.7265263393051,-61.6232665230119
5.55600871744547,-13.4849013468523,4.85768570189332,-54.307703184385,-68.5960091327474,-51.2435097461672,-88.1522079841457,-70.8615992619545,-11.3106918324048,-48.1598500725078
70.4473228962869,21.6953382169716,48.6084413936281,-12.3125535356757,6.58777193424068,75.0698285852098,-79.1962928687818,60.6508744314988,65.2048520592616,90.8525112664984
30.7223599241719,-4.82590956822733,-15.9121258472109,-70.7487492453244,69.9936117389315,87.457498905945,36.404187130475,-6.80378859681625,-95.7956003877737,-26.4800330399727
-14.364268976869,-4.78907303334388,88.7843847903292,16.7526343601916,-66.166223513836,40.19045184917,53.6435591240808,91.6006821567421,-90.7167977672598,-99.4990106677874
57.0464548463384,65.6961382279347,41.6658909669249,98.3642389253107,-83.0368082448017,17.3611365326951,-61.0841684305097,81.4002602610196,30.6951173336078,95.8430474636639
-54.0564207037841,-26.1563479000695,7.01580452674247,-82.1708913082859,-57.6060491737929,16.9754072517842,-89.6282928837507,-33.5821487099651,69.5850881569386,-76.7780019412902
50.1696695384964,54.4227447312063,99.3191886590965,18.5966339129176,-58.4681491245803,9.54146946821555,12.9450920044417,-6.63229172751301,-33.9282319819282,-39.9412441334886
-13.6717145376099,-50.8724260094955,-56.3665462924837,94.9731188543288,-20.8144637727109,-9.98672226963589,17.8717655508243,81.6896346820351,58.7138512756978,-90.9663390312351
53.0171345765772,59.8805482284486,-33.4314465233756,79.7659282354437,6.11523956338816,-10.437281045371,85.9812253772792,-59.6744016038351,-49.7046448479858,14.9977483805366
-68.4230956155287,57.8725279077975,17.7935237648669,-45.3208802745246,-88.7551297673907,45.2782368959215,-81.4254924945859,38.6519004512579,-28.9156942431851,-28.1357375809529
-32.9502640841467,-6.64965696839479,55.2866954088327,29.2629833978688,58.5686423009024,-68.5483634982185,-52.8409006038084,-36.9789864430842,89.9437041024869,25.0851124629137
